indicator_value__|,indicator_value__|__69206__1990,indicator_value__|__69206__1991,indicator_value__|__69206__1992,indicator_value__|__69206__1993,indicator_value__|__69206__1994,indicator_value__|__69206__1995,indicator_value__|__69206__1996,indicator_value__|__69206__1997,indicator_value__|__69206__1998,indicator_value__|__69206__1999,indicator_value__|__69206__2000,indicator_value__|__69206__2001,indicator_value__|__69206__2002,indicator_value__|__69206__2003,indicator_value__|__69206__2004,indicator_value__|__69206__2005,indicator_value__|__69206__2006,indicator_value__|__69206__2007,indicator_value__|__69206__2008,indicator_value__|__69206__2009,indicator_value__|__69206__2010,indicator_value__|__69206__2011,indicator_value__|__69206__2012,indicator_value__|__69206__2013,indicator_value__|__69206__2014,indicator_value__|__69206__2015,indicator_value__|__69206__2016,indicator_value__|__69206__2017,indicator_value__|__69206__2018,indicator_value__|__69206__2019
KHM,53.595,53.916,54.228,54.514,54.82,55.189,55.653,56.212,56.862,57.604,58.432,59.335,60.283,61.241,62.186,63.088,63.927,64.697,65.394,66.014,66.56,67.043,67.48,67.888,68.273,68.637,68.977,69.289,69.57,69.82
KIR,59.636,60.053,60.455,60.837,61.198,61.539,61.866,62.188,62.509,62.829,63.144,63.446,63.731,63.995,64.242,64.478,64.712,64.953,65.208,65.48,65.769,66.072,66.381,66.69,66.995,67.291,67.577,67.851,68.116,68.37
KNA,67.314,67.568,67.823,68.084,68.353,68.631,68.923,69.228,69.544,69.868,70.195,70.519,70.835,71.137,71.425,71.697,71.954,72.2,72.44,72.674,72.903,73.127,73.347,73.561,73.77,73.975,74.175,74.372,74.564,74.76
KOR,71.657,72.147,72.613,73.061,73.494,73.918,74.337,74.756,75.179,75.608,76.047,76.499,76.96,77.426,77.892,78.354,78.806,79.243,79.66,80.056,80.432,80.79,81.137,81.472,81.795,82.1,82.379,82.628,82.846,83.03
KWT,72.15,72.3,72.435,72.556,72.666,72.764,72.852,72.931,73.004,73.074,73.142,73.21,73.28,73.355,73.439,73.538,73.66,73.807,73.976,74.162,74.358,74.55,74.728,74.885,75.019,75.13,75.224,75.311,75.398,75.49
LAO,53.364,53.799,54.258,54.753,55.285,55.851,56.44,57.04,57.637,58.225,58.803,59.372,59.937,60.502,61.065,61.625,62.182,62.731,63.271,63.797,64.306,64.797,65.267,65.717,66.144,66.546,66.924,67.277,67.61,67.92
LBN,70.266,70.584,70.929,71.3,71.699,72.125,72.576,73.046,73.528,74.017,74.507,74.999,75.488,75.969,76.432,76.865,77.26,77.609,77.911,78.161,78.36,78.507,78.611,78.683,78.732,78.768,78.8,78.833,78.875,78.93
LBR,46.046,46.097,46.357,46.832,47.506,48.314,49.163,49.963,50.657,51.234,51.734,52.236,52.826,53.554,54.422,55.393,56.4,57.365,58.229,58.971,59.6,60.146,60.663,61.186,61.723,62.269,62.802,63.295,63.73,64.1
LBY,68.503,68.85,69.175,69.469,69.732,69.965,70.169,70.352,70.522,70.684,70.852,71.038,71.244,71.466,71.693,71.902,72.063,72.155,72.174,72.129,72.044,71.956,71.901,71.907,71.981,72.121,72.311,72.52,72.724,72.91
LCA,71.074,71.335,71.592,71.843,72.087,72.323,72.547,72.759,72.958,73.144,73.319,73.486,73.648,73.808,73.966,74.122,74.276,74.426,74.571,74.712,74.852,74.993,75.138,75.286,75.44,75.596,75.752,75.907,76.057,76.2
LIE,76.097,76.305,76.515,76.73,76.95,77.173,77.395,77.611,77.816,78.007,78.184,78.345,78.495,78.635,78.767,78.894,79.017,79.139,79.261,79.384,79.509,79.637,79.765,79.894,80.023,80.152,80.281,80.41,80.537,80.67
LKA,69.509,69.62,69.639,69.557,69.403,69.259,69.237,69.419,69.845,70.503,71.333,72.233,73.085,73.799,74.337,74.695,74.904,75.037,75.157,75.286,75.439,75.614,75.796,75.974,76.147,76.316,76.482,76.648,76.812,76.98
LSO,59.837,59.464,58.868,58.05,57.022,55.782,54.334,52.728,51.034,49.328,47.691,46.197,44.898,43.845,43.083,42.658,42.595,42.854,43.384,44.146,45.1,46.207,47.416,48.663,49.891,51.038,52.059,52.947,53.705,54.33
LTU,70.682,70.35,70.054,69.844,69.744,69.768,69.909,70.132,70.399,70.688,70.967,71.205,71.392,71.527,71.619,71.692,71.784,71.929,72.15,72.451,72.826,73.256,73.706,74.145,74.556,74.923,75.238,75.507,75.737,75.93
LUX,75.159,75.41,75.653,75.892,76.131,76.373,76.62,76.872,77.129,77.39,77.652,77.91,78.161,78.406,78.645,78.888,79.145,79.421,79.718,80.032,80.352,80.664,80.955,81.215,81.442,81.636,81.803,81.955,82.102,82.25
LVA,69.053,68.564,68.143,67.862,67.752,67.828,68.076,68.437,68.855,69.297,69.726,70.106,70.429,70.698,70.917,71.114,71.331,71.602,71.949,72.368,72.838,73.323,73.778,74.172,74.491,74.733,74.91,75.048,75.172,75.29
MAR,64.732,65.251,65.715,66.128,66.501,66.846,67.175,67.508,67.86,68.245,68.684,69.193,69.769,70.399,71.067,71.746,72.403,73.009,73.546,74.003,74.382,74.696,74.97,75.227,75.477,75.726,75.974,76.218,76.453,76.68
MDA,67.643,67.563,67.408,67.221,67.03,66.867,66.761,66.722,66.752,66.852,67.006,67.185,67.362,67.521,67.665,67.82,68.022,68.302,68.671,69.119,69.616,70.119,70.581,70.968,71.267,71.478,71.617,71.717,71.808,71.9
MDG,51.003,51.595,52.278,53.022,53.808,54.616,55.43,56.239,57.028,57.782,58.485,59.129,59.717,60.256,60.752,61.212,61.65,62.079,62.509,62.944,63.388,63.836,64.28,64.713,65.133,65.539,65.931,66.311,66.681,67.04
MDV,61.529,62.413,63.302,64.185,65.059,65.923,66.784,67.644,68.501,69.348,70.173,70.964,71.708,72.399,73.034,73.612,74.138,74.621,75.073,75.499,75.905,76.293,76.664,77.018,77.36,77.691,78.013,78.325,78.627,78.92
MEX,70.866,71.248,71.61,71.953,72.279,72.598,72.925,73.268,73.625,73.988,74.34,74.658,74.922,75.118,75.243,75.3,75.296,75.255,75.194,75.128,75.065,75.011,74.966,74.93,74.908,74.904,74.917,74.947,74.992,75.05
MHL,62.313,62.819,63.343,63.875,64.407,64.935,65.46,65.983,66.506,67.026,67.541,68.047,68.543,69.024,69.489,69.931,70.347,70.736,71.099,71.437,71.752,72.047,72.328,72.598,72.861,73.119,73.372,73.62,73.861,74.11
MKD,71.152,71.331,71.502,71.68,71.871,72.08,72.309,72.55,72.795,73.038,73.267,73.47,73.642,73.781,73.892,73.986,74.08,74.19,74.324,74.484,74.662,74.846,75.019,75.171,75.299,75.406,75.498,75.589,75.688,75.8
MLI,45.746,46.076,46.305,46.445,46.52,46.573,46.658,46.823,47.103,47.515,48.069,48.758,49.54,50.373,51.224,52.057,52.839,53.553,54.193,54.756,55.251,55.701,56.135,56.578,57.036,57.509,57.987,58.452,58.893,59.31
MLT,76.912,77.215,77.482,77.725,77.948,78.154,78.348,78.531,78.707,78.88,79.05,79.217,79.38,79.539,79.697,79.861,80.036,80.225,80.428,80.644,80.868,81.094,81.314,81.522,81.716,81.896,82.063,82.221,82.376,82.53
MMR,56.849,57.18,57.504,57.823,58.141,58.46,58.78,59.101,59.422,59.744,60.063,60.377,60.685,60.989,61.294,61.607,61.938,62.294,62.678,63.089,63.525,63.983,64.453,64.921,65.378,65.81,66.205,66.558,66.867,67.13
MNG,60.268,60.486,60.67,60.841,61.015,61.211,61.447,61.73,62.063,62.446,62.869,63.319,63.777,64.23,64.671,65.103,65.538,65.985,66.447,66.916,67.38,67.818,68.217,68.566,68.863,69.111,69.321,69.509,69.689,69.87
MOZ,45.261,45.647,46.033,46.41,46.772,47.123,47.47,47.826,48.194,48.572,48.946,49.295,49.61,49.889,50.143,50.387,50.641,50.934,51.292,51.738,52.31,53.043,53.931,54.949,56.062,57.206,58.309,59.309,60.163,60.85
MRT,59.688,59.914,60.092,60.231,60.341,60.426,60.493,60.545,60.593,60.643,60.706,60.788,60.892,61.018,61.17,61.349,61.552,61.776,62.015,62.266,62.527,62.799,63.079,63.366,63.654,63.936,64.208,64.464,64.704,64.93
MUS,69.425,69.721,69.972,70.154,70.268,70.339,70.406,70.51,70.677,70.912,71.2,71.51,71.806,72.062,72.272,72.446,72.606,72.777,72.977,73.208,73.46,73.718,73.96,74.173,74.352,74.5,74.626,74.743,74.863,74.99
MWI,46.096,46.121,46.108,46.055,45.969,45.846,45.677,45.479,45.285,45.136,45.09,45.204,45.517,46.052,46.823,47.844,49.118,50.595,52.206,53.888,55.564,57.161,58.629,59.931,61.042,61.953,62.681,63.279,63.798,64.26
MYS,70.865,71.106,71.326,71.519,71.687,71.834,71.972,72.11,72.257,72.418,72.594,72.782,72.976,73.17,73.364,73.555,73.744,73.931,74.118,74.305,74.493,74.683,74.877,75.072,75.268,75.461,75.649,75.828,75.997,76.16
NAM,61.608,61.531,61.165,60.516,59.609,58.479,57.179,55.806,54.462,53.231,52.192,51.399,50.862,50.589,50.6,50.931,51.609,52.593,53.817,55.207,56.665,58.085,59.387,60.513,61.425,62.119,62.625,63.021,63.373,63.71
NER,43.538,44.103,44.703,45.33,45.979,46.641,47.307,47.97,48.627,49.279,49.928,50.584,51.256,51.95,52.668,53.411,54.18,54.968,55.764,56.557,57.333,58.081,58.79,59.455,60.07,60.631,61.137,61.599,62.024,62.42
NGA,45.9,45.875,45.857,45.845,45.843,45.854,45.88,45.923,45.994,46.103,46.267,46.51,46.835,47.242,47.72,48.252,48.812,49.373,49.913,50.422,50.896,51.346,51.786,52.228,52.672,53.112,53.541,53.95,54.332,54.69
NIC,64.293,65.011,65.683,66.297,66.849,67.344,67.798,68.234,68.667,69.1,69.527,69.934,70.308,70.64,70.933,71.195,71.436,71.673,71.915,72.167,72.428,72.692,72.951,73.197,73.429,73.649,73.86,74.068,74.275,74.49
NLD,76.993,77.098,77.202,77.308,77.416,77.528,77.642,77.762,77.889,78.028,78.187,78.373,78.59,78.837,79.11,79.401,79.702,80.001,80.287,80.554,80.797,81.015,81.212,81.392,81.559,81.715,81.862,82.004,82.143,82.28
NOR,76.729,76.932,77.146,77.361,77.575,77.783,77.985,78.184,78.384,78.586,78.793,79.01,79.237,79.474,79.72,79.972,80.225,80.475,80.717,80.945,81.156,81.345,81.512,81.66,81.792,81.912,82.029,82.146,82.271,82.4
NPL,54.404,55.262,56.118,56.964,57.793,58.6,59.383,60.144,60.884,61.6,62.288,62.945,63.57,64.165,64.729,65.264,65.773,66.26,66.727,67.178,67.611,68.028,68.426,68.806,69.168,69.515,69.848,70.169,70.478,70.78
NZL,75.36,75.725,76.082,76.414,76.716,76.989,77.244,77.497,77.76,78.036,78.324,78.62,78.914,79.2,79.474,79.734,79.981,80.216,80.441,80.656,80.86,81.052,81.233,81.402,81.561,81.713,81.859,82.002,82.145,82.29
OMN,67.18,67.739,68.273,68.786,69.283,69.77,70.25,70.726,71.197,71.664,72.126,72.58,73.022,73.447,73.851,74.23,74.577,74.893,75.179,75.44,75.682,75.916,76.149,76.388,76.634,76.887,77.142,77.393,77.633,77.86
PAK,60.1,60.393,60.68,60.96,61.235,61.505,61.773,62.039,62.303,62.564,62.82,63.066,63.3,63.522,63.736,63.951,64.176,64.42,64.685,64.969,65.264,65.562,65.849,66.117,66.36,66.577,66.77,66.947,67.114,67.27
PAN,72.982,73.212,73.439,73.661,73.879,74.092,74.3,74.5,74.694,74.881,75.06,75.233,75.401,75.565,75.728,75.892,76.06,76.234,76.414,76.6,76.792,76.989,77.188,77.386,77.583,77.776,77.964,78.149,78.329,78.51
PER,66.165,66.757,67.33,67.88,68.405,68.903,69.378,69.834,70.274,70.7,71.111,71.505,71.882,72.24,72.581,72.908,73.222,73.528,73.826,74.12,74.41,74.697,74.981,75.258,75.529,75.792,76.044,76.286,76.516,76.74
PHL,66.366,66.811,67.239,67.628,67.962,68.231,68.431,68.574,68.675,68.744,68.793,68.835,68.88,68.937,69.013,69.112,69.233,69.37,69.515,69.667,69.823,69.984,70.149,70.315,70.481,70.644,70.802,70.952,71.095,71.23
PLW,62.314,62.814,63.34,63.88,64.425,64.969,65.507,66.04,66.564,67.075,67.57,68.045,68.501,68.938,69.356,69.755,70.136,70.5,70.851,71.189,71.514,71.826,72.125,72.412,72.686,72.949,73.202,73.445,73.678,73.93
PNG,56.492,56.823,57.152,57.473,57.781,58.073,58.344,58.594,58.828,59.049,59.265,59.487,59.722,59.974,60.245,60.534,60.836,61.141,61.442,61.739,62.029,62.316,62.604,62.892,63.181,63.466,63.744,64.01,64.263,64.5
POL,70.823,70.93,71.084,71.285,71.533,71.827,72.164,72.535,72.923,73.318,73.7,74.052,74.367,74.644,74.884,75.099,75.306,75.523,75.765,76.034,76.33,76.647,76.968,77.282,77.582,77.859,78.11,78.338,78.544,78.73
PRT,74.504,74.67,74.835,75.006,75.192,75.397,75.627,75.878,76.15,76.44,76.749,77.075,77.413,77.759,78.107,78.451,78.786,79.11,79.421,79.716,79.995,80.26,80.513,80.758,80.995,81.224,81.444,81.655,81.857,82.05
PRY,68.545,68.753,68.958,69.152,69.335,69.511,69.69,69.88,70.087,70.31,70.546,70.786,71.023,71.249,71.464,71.667,71.862,72.055,72.251,72.45,72.653,72.86,73.068,73.274,73.473,73.662,73.836,73.992,74.131,74.25
PSE,68.048,68.433,68.795,69.135,69.455,69.757,70.041,70.309,70.56,70.797,71.022,71.239,71.447,71.648,71.842,72.028,72.203,72.366,72.517,72.656,72.788,72.915,73.041,73.17,73.303,73.442,73.589,73.74,73.895,74.05
QAT,75.824,76.041,76.241,76.427,76.599,76.759,76.909,77.052,77.19,77.327,77.467,77.612,77.762,77.919,78.083,78.252,78.425,78.601,78.775,78.945,79.108,79.26,79.399,79.527,79.646,79.758,79.868,79.981,80.1,80.23
ROU,69.535,69.535,69.528,69.517,69.51,69.526,69.587,69.708,69.898,70.155,70.47,70.824,71.194,71.561,71.917,72.262,72.605,72.956,73.322,73.695,74.066,74.42,74.744,75.029,75.272,75.476,75.644,75.79,75.924,76.05
RUS,68.047,67.561,67.069,66.632,66.279,66.009,65.798,65.608,65.417,65.234,65.082,64.995,65.005,65.131,65.38,65.752,66.238,66.807,67.426,68.07,68.715,69.343,69.944,70.508,71.018,71.464,71.835,72.139,72.386,72.58
RWA,33.413,29.248,26.691,26.172,27.738,31.037,35.38,39.838,43.686,46.639,48.649,49.936,50.987,52.178,53.595,55.254,57.083,58.915,60.612,62.129,63.433,64.523,65.438,66.219,66.884,67.45,67.93,68.341,68.7,69.02
SAU,69.078,69.522,69.945,70.349,70.733,71.099,71.445,71.766,72.06,72.327,72.561,72.759,72.92,73.051,73.159,73.256,73.355,73.467,73.598,73.75,73.917,74.089,74.254,74.402,74.533,74.651,74.761,74.874,74.998,75.13
SDN,55.5,55.687,55.899,56.14,56.41,56.709,57.032,57.374,57.73,58.096,58.472,58.859,59.258,59.67,60.092,60.525,60.969,61.422,61.879,62.33,62.764,63.171,63.542,63.875,64.169,64.429,64.663,64.881,65.095,65.31
SEN,57.202,57.43,57.529,57.535,57.48,57.404,57.342,57.323,57.376,57.523,57.787,58.177,58.675,59.259,59.912,60.62,61.365,62.126,62.88,63.607,64.284,64.898,65.448,65.939,66.37,66.747,67.078,67.38,67.665,67.94
SGP,75.936,76.234,76.463,76.625,76.735,76.821,76.922,77.07,77.29,77.59,77.969,78.413,78.891,79.372,79.839,80.275,80.667,81.015,81.325,81.595,81.833,82.048,82.254,82.459,82.667,82.877,83.083,83.279,83.458,83.62
SLB,64.365,64.527,64.725,64.961,65.237,65.552,65.903,66.278,66.665,67.057,67.442,67.816,68.175,68.518,68.845,69.158,69.462,69.762,70.063,70.366,70.674,70.985,71.296,71.601,71.896,72.173,72.424,72.645,72.835,73
SLE,38.563,38.122,37.717,37.384,37.158,37.083,37.194,37.496,37.98,38.634,39.441,40.369,41.376,42.419,43.467,44.502,45.517,46.52,47.508,48.468,49.382,50.234,51.018,51.731,52.372,52.941,53.444,53.895,54.309,54.7
SLV,64,64.858,65.617,66.273,66.824,67.277,67.651,67.978,68.284,68.581,68.875,69.162,69.432,69.68,69.908,70.124,70.333,70.542,70.756,70.978,71.21,71.449,71.692,71.935,72.175,72.412,72.644,72.872,73.096,73.32
SRB,71.5,71.607,71.691,71.756,71.804,71.841,71.869,71.895,71.926,71.971,72.037,72.131,72.256,72.409,72.592,72.803,73.04,73.296,73.562,73.833,74.101,74.364,74.619,74.864,75.095,75.309,75.505,75.684,75.849,76
SSD,43.524,44.232,44.932,45.611,46.257,46.855,47.395,47.884,48.333,48.754,49.166,49.592,50.05,50.55,51.095,51.686,52.315,52.96,53.6,54.219,54.8,55.325,55.791,56.2,56.552,56.855,57.12,57.365,57.604,57.85
STP,58.247,58.188,58.212,58.318,58.511,58.795,59.172,59.631,60.159,60.742,61.365,62.017,62.687,63.359,64.02,64.659,65.27,65.854,66.412,66.938,67.43,67.885,68.306,68.695,69.052,69.377,69.67,69.933,70.17,70.39
SUR,67.436,67.519,67.59,67.647,67.695,67.731,67.753,67.762,67.768,67.781,67.822,67.913,68.064,68.28,68.555,68.877,69.227,69.579,69.91,70.209,70.465,70.676,70.851,71.002,71.133,71.249,71.358,71.463,71.57,71.68
SVK,71.222,71.364,71.528,71.713,71.917,72.137,72.367,72.602,72.837,73.067,73.288,73.497,73.695,73.886,74.074,74.267,74.473,74.698,74.945,75.212,75.493,75.782,76.067,76.34,76.595,76.827,77.034,77.219,77.388,77.54
SVN,73.202,73.427,73.661,73.913,74.184,74.471,74.767,75.062,75.353,75.638,75.924,76.219,76.532,76.866,77.22,77.591,77.973,78.355,78.729,79.087,79.421,79.725,80.001,80.25,80.474,80.673,80.852,81.016,81.172,81.32
SWE,77.637,77.845,78.063,78.288,78.517,78.743,78.963,79.171,79.367,79.551,79.725,79.893,80.061,80.234,80.411,80.594,80.782,80.97,81.157,81.339,81.514,81.679,81.834,81.98,82.118,82.251,82.382,82.516,82.654,82.8
SWZ,61.95,61.7,61.112,60.192,58.958,57.422,55.606,53.595,51.498,49.424,47.49,45.799,44.41,43.372,42.731,42.518,42.733,43.308,44.17,45.275,46.601,48.141,49.862,51.699,53.569,55.359,56.962,58.319,59.401,60.19
SYC,70.767,70.752,70.736,70.719,70.708,70.71,70.734,70.783,70.86,70.967,71.105,71.274,71.466,71.673,71.887,72.099,72.299,72.482,72.644,72.781,72.892,72.976,73.041,73.094,73.139,73.182,73.226,73.276,73.333,73.4
SYR,70.553,70.871,71.167,71.444,71.708,71.961,72.205,72.439,72.664,72.882,73.11,73.371,73.663,73.967,74.25,74.43,74.412,74.152,73.647,72.938,72.108,71.27,70.55,70.049,69.821,69.908,70.315,70.967,71.779,72.7
TCD,47.019,47.108,47.187,47.265,47.345,47.426,47.498,47.559,47.61,47.657,47.713,47.789,47.9,48.057,48.27,48.549,48.907,49.335,49.82,50.346,50.89,51.424,51.928,52.386,52.789,53.137,53.438,53.712,53.977,54.24
TGO,55.887,55.872,55.734,55.485,55.147,54.757,54.36,54.001,53.722,53.547,53.491,53.554,53.71,53.938,54.234,54.602,55.052,55.581,56.178,56.818,57.468,58.092,58.661,59.16,59.58,59.927,60.22,60.489,60.76,61.04
THA,70.248,70.3,70.281,70.239,70.202,70.191,70.215,70.267,70.348,70.463,70.623,70.832,71.089,71.389,71.728,72.099,72.499,72.916,73.341,73.766,74.184,74.593,74.992,75.378,75.747,76.091,76.403,76.683,76.931,77.15
TJK,58.824,58.48,58.212,58.104,58.192,58.497,59.003,59.65,60.379,61.161,61.974,62.807,63.653,64.496,65.314,66.08,66.771,67.382,67.911,68.36,68.736,69.055,69.34,69.609,69.874,70.137,70.397,70.647,70.879,71.1
TKM,62.81,62.784,62.761,62.758,62.786,62.851,62.953,63.084,63.237,63.413,63.613,63.842,64.101,64.386,64.693,65.017,65.354,65.695,66.031,66.355,66.657,66.928,67.167,67.375,67.552,67.704,67.835,67.956,68.073,68.19
TLS,48.492,49.345,50.261,51.267,52.366,53.538,54.737,55.907,57.011,58.037,59.002,59.945,60.901,61.888,62.893,63.882,64.803,65.61,66.276,66.796,67.186,67.477,67.72,67.953,68.197,68.459,68.735,69.007,69.26,69.5
TON,68.935,69.049,69.143,69.223,69.29,69.351,69.41,69.471,69.535,69.601,69.667,69.725,69.771,69.803,69.822,69.836,69.852,69.878,69.921,69.982,70.059,70.148,70.242,70.335,70.427,70.517,70.607,70.701,70.801,70.91
TTO,68.086,68.201,68.305,68.402,68.496,68.597,68.713,68.85,69.011,69.199,69.413,69.65,69.903,70.164,70.428,70.691,70.952,71.21,71.464,71.71,71.946,72.17,72.382,72.582,72.768,72.941,73.1,73.245,73.38,73.51
TUN,68.792,69.407,70.001,70.555,71.062,71.517,71.921,72.282,72.608,72.904,73.172,73.415,73.638,73.842,74.034,74.217,74.391,74.558,74.72,74.88,75.041,75.206,75.376,75.552,75.734,75.922,76.115,76.31,76.505,76.7
TUR,64.256,64.757,65.275,65.815,66.377,66.963,67.57,68.189,68.807,69.417,70.005,70.56,71.078,71.559,72.004,72.424,72.83,73.235,73.649,74.074,74.507,74.944,75.373,75.784,76.172,76.532,76.86,77.161,77.437,77.69
TZA,50.206,49.978,49.743,49.529,49.365,49.287,49.329,49.503,49.809,50.248,50.801,51.444,52.142,52.866,53.602,54.349,55.119,55.926,56.777,57.666,58.584,59.525,60.47,61.398,62.288,63.111,63.844,64.479,65.015,65.46
UGA,45.853,45.252,44.715,44.272,43.961,43.824,43.899,44.19,44.685,45.373,46.229,47.22,48.299,49.421,50.554,51.676,52.784,53.887,54.984,56.06,57.099,58.087,59.017,59.881,60.669,61.373,61.986,62.516,62.973,63.37
UKR,69.835,69.454,69.028,68.608,68.221,67.896,67.645,67.462,67.339,67.276,67.258,67.267,67.288,67.317,67.361,67.451,67.625,67.909,68.306,68.802,69.361,69.932,70.464,70.918,71.276,71.535,71.711,71.84,71.953,72.07
URY,72.569,72.757,72.955,73.166,73.388,73.62,73.854,74.086,74.309,74.523,74.731,74.939,75.152,75.373,75.599,75.826,76.046,76.251,76.437,76.603,76.75,76.882,77.004,77.124,77.244,77.369,77.498,77.632,77.77,77.91
USA,75.246,75.4,75.562,75.728,75.896,76.062,76.222,76.376,76.524,76.668,76.812,76.962,77.124,77.299,77.486,77.685,77.892,78.101,78.303,78.49,78.652,78.777,78.862,78.909,78.922,78.91,78.885,78.861,78.851,78.86
UZB,66.481,66.424,66.368,66.336,66.343,66.396,66.494,66.626,66.782,66.959,67.156,67.374,67.613,67.868,68.135,68.407,68.676,68.939,69.193,69.435,69.672,69.91,70.155,70.41,70.671,70.928,71.171,71.388,71.573,71.73
VCT,70.58,70.669,70.723,70.748,70.752,70.745,70.736,70.731,70.738,70.762,70.809,70.882,70.977,71.087,71.208,71.331,71.449,71.554,71.643,71.716,71.776,71.827,71.879,71.939,72.01,72.095,72.193,72.3,72.415,72.53
VEN,70.658,70.811,70.951,71.079,71.2,71.321,71.451,71.596,71.756,71.93,72.112,72.294,72.466,72.618,72.746,72.852,72.938,73.01,73.071,73.116,73.134,73.11,73.037,72.918,72.762,72.584,72.405,72.246,72.128,72.06
VNM,70.551,70.842,71.124,71.399,71.666,71.923,72.168,72.399,72.617,72.824,73.025,73.228,73.438,73.654,73.875,74.092,74.295,74.474,74.625,74.745,74.837,74.904,74.958,75.006,75.056,75.11,75.172,75.241,75.317,75.4
VUT,64.721,65.047,65.349,65.633,65.903,66.162,66.414,66.66,66.899,67.134,67.363,67.583,67.793,67.99,68.176,68.35,68.515,68.672,68.824,68.974,69.123,69.272,69.421,69.57,69.719,69.869,70.021,70.172,70.323,70.47
WSM,66.281,66.47,66.655,66.842,67.037,67.249,67.491,67.764,68.067,68.399,68.748,69.103,69.451,69.781,70.089,70.374,70.642,70.901,71.158,71.412,71.663,71.906,72.136,72.351,72.549,72.73,72.895,73.046,73.187,73.32
YEM,57.346,57.73,58.047,58.318,58.566,58.817,59.096,59.415,59.782,60.204,60.683,61.216,61.781,62.358,62.931,63.481,63.997,64.47,64.892,65.255,65.549,65.768,65.92,66.016,66.066,66.085,66.087,66.086,66.096,66.13
ZAF,63.307,63.384,63.247,62.894,62.331,61.561,60.595,59.489,58.315,57.144,56.048,55.089,54.31,53.749,53.444,53.447,53.795,54.452,55.36,56.46,57.669,58.895,60.06,61.099,61.968,62.649,63.153,63.538,63.857,64.13
ZMB,49.249,48.125,46.987,45.919,44.983,44.242,43.735,43.461,43.413,43.594,44,44.615,45.4,46.322,47.354,48.496,49.757,51.134,52.606,54.13,55.655,57.126,58.502,59.746,60.831,61.737,62.464,63.043,63.51,63.89
ZWE,58.1,56.749,55.243,53.653,52.044,50.48,49.009,47.661,46.466,45.461,44.649,44.01,43.523,43.195,43.065,43.241,43.853,44.947,46.504,48.449,50.64,52.896,55.032,56.897,58.41,59.534,60.294,60.812,61.195,61.49